total_delinquency,rate_x_delinquency,max_delinquency,cpi_risk_norm,unemp_x_delinquency,true,pred
0.1111111111111111,0.6341326826755145,0.25,-0.0934470606700971,0.6341326826755145,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.1111111111111111,0.6341326826755145,0.25,0.3268518037888158,0.6341326826755145,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.1111111111111111,0.6341326826755145,0.25,-0.0807105616274785,0.6341326826755145,0,1
0.05555555555555555,0.0836315540568891,0.25,1.24375098211194,0.083631554056889,0,1
0.1388888888888889,0.9093832469848272,0.375,0.4796887097258397,0.9093832469848272,0,1
0.1111111111111111,0.6341326826755145,0.25,-0.1669270700889773,0.6341326826755145,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.1111111111111111,0.6341326826755145,0.25,-0.1995849654476854,0.6341326826755145,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.05555555555555555,0.0836315540568891,0.25,0.4796657853361687,0.083631554056889,0,1
0.1111111111111111,0.6341326826755145,0.25,0.0211810486223196,0.6341326826755145,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.027777777777777776,-0.1916190102524235,0.125,-0.2462860203394923,-0.1916190102524236,1,0
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.027777777777777776,-0.1916190102524235,0.125,0.0975849826884444,-0.1916190102524236,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.027777777777777776,-0.1916190102524235,0.125,-0.269211854259697,-0.1916190102524236,1,0
0.1388888888888889,0.9093832469848272,0.25,-0.0456848708478014,0.9093832469848272,0,1
0.8888888888888888,8.34114848333627,0.875,1.9386106998017067,8.341148483336271,0,1
0.0,-0.4668695745617363,0.0,-0.2844958199592799,-0.4668695745617363,1,0
0.1111111111111111,0.6341326826755145,0.25,-0.171281452104981,0.6341326826755145,0,1
0.05555555555555555,0.0836315540568891,0.25,-0.2080762207197047,0.083631554056889,1,0
